,wassertemp_pred,airtemp_pred
2025-07-03 12:00:00+02:00,21.581919,20.075119
2025-07-03 13:00:00+02:00,21.693808,21.645298
2025-07-03 14:00:00+02:00,21.781473,23.124079
2025-07-03 15:00:00+02:00,21.871996,23.67956
2025-07-03 16:00:00+02:00,21.903734,24.517912
2025-07-03 17:00:00+02:00,21.863005,23.926357
2025-07-03 18:00:00+02:00,21.844742,23.845034
2025-07-03 19:00:00+02:00,21.736958,23.435019
2025-07-03 20:00:00+02:00,21.52107,21.891687
2025-07-03 21:00:00+02:00,21.355206,20.83671
2025-07-03 22:00:00+02:00,21.112116,19.89348
2025-07-03 23:00:00+02:00,21.010698,18.837498
2025-07-04 00:00:00+02:00,20.959064,18.118557
2025-07-04 01:00:00+02:00,20.833437,17.322905
2025-07-04 02:00:00+02:00,20.888233,16.864906
2025-07-04 03:00:00+02:00,20.82989,16.675858
2025-07-04 04:00:00+02:00,20.727667,15.979485
2025-07-04 05:00:00+02:00,20.630604,15.994523
2025-07-04 06:00:00+02:00,20.56562,16.293026
2025-07-04 07:00:00+02:00,20.54352,18.088392
2025-07-04 08:00:00+02:00,20.416073,18.995296
2025-07-04 09:00:00+02:00,20.419426,20.977488
2025-07-04 10:00:00+02:00,20.482786,23.187275
2025-07-04 11:00:00+02:00,20.50844,25.07964
2025-07-04 12:00:00+02:00,20.637526,26.804802
2025-07-04 13:00:00+02:00,20.722698,28.162718
2025-07-04 14:00:00+02:00,20.904318,29.18
2025-07-04 15:00:00+02:00,20.984632,30.29673
2025-07-04 16:00:00+02:00,21.080967,30.334957
2025-07-04 17:00:00+02:00,21.05983,30.157701
2025-07-04 18:00:00+02:00,21.056105,29.89601
2025-07-04 19:00:00+02:00,20.950214,28.990185
2025-07-04 20:00:00+02:00,20.780003,27.797678
2025-07-04 21:00:00+02:00,20.663782,26.739473
2025-07-04 22:00:00+02:00,20.50797,25.230797
2025-07-04 23:00:00+02:00,20.410677,24.919127
2025-07-05 00:00:00+02:00,20.33533,23.653927
2025-07-05 01:00:00+02:00,20.264587,22.727928
2025-07-05 02:00:00+02:00,20.291502,22.019644
2025-07-05 03:00:00+02:00,20.316498,21.579437
2025-07-05 04:00:00+02:00,20.199757,21.565744
2025-07-05 05:00:00+02:00,20.181965,21.912336
2025-07-05 06:00:00+02:00,20.171394,22.545435
2025-07-05 07:00:00+02:00,20.088785,23.45507
2025-07-05 08:00:00+02:00,20.046076,24.967566
2025-07-05 09:00:00+02:00,20.092537,26.948206
2025-07-05 10:00:00+02:00,20.10444,28.659939
2025-07-05 11:00:00+02:00,20.220844,29.979467
2025-07-05 12:00:00+02:00,20.320576,32.04037
2025-07-05 13:00:00+02:00,20.50883,33.806683
2025-07-05 14:00:00+02:00,20.602,34.181923
2025-07-05 15:00:00+02:00,20.767855,35.396675
2025-07-05 16:00:00+02:00,20.885458,35.289608
2025-07-05 17:00:00+02:00,20.913574,35.302597
2025-07-05 18:00:00+02:00,20.931248,34.5435
2025-07-05 19:00:00+02:00,20.77484,33.10297
2025-07-05 20:00:00+02:00,20.685509,31.970312
2025-07-05 21:00:00+02:00,20.62701,30.950432
2025-07-05 22:00:00+02:00,20.422796,29.795174
2025-07-05 23:00:00+02:00,20.331057,28.257627
2025-07-06 00:00:00+02:00,20.337683,27.813267
2025-07-06 01:00:00+02:00,20.310568,26.497782
2025-07-06 02:00:00+02:00,20.219446,25.583792
2025-07-06 03:00:00+02:00,20.233402,25.282291
2025-07-06 04:00:00+02:00,20.25207,25.382198
2025-07-06 05:00:00+02:00,20.234186,25.416046
2025-07-06 06:00:00+02:00,20.154676,25.755522
2025-07-06 07:00:00+02:00,20.112886,27.147276
2025-07-06 08:00:00+02:00,20.073286,28.23527
2025-07-06 09:00:00+02:00,20.142336,30.274609
2025-07-06 10:00:00+02:00,20.1888,32.017998
2025-07-06 11:00:00+02:00,20.28433,33.61539
2025-07-06 12:00:00+02:00,20.363926,35.387688
2025-07-06 13:00:00+02:00,20.56474,36.928593
2025-07-06 14:00:00+02:00,20.785097,37.37331
2025-07-06 15:00:00+02:00,20.88292,38.13999
2025-07-06 16:00:00+02:00,20.995924,38.203426
2025-07-06 17:00:00+02:00,21.093472,37.697872
2025-07-06 18:00:00+02:00,21.056053,37.04581
2025-07-06 19:00:00+02:00,20.929722,35.964203
2025-07-06 20:00:00+02:00,20.764135,34.335957
2025-07-06 21:00:00+02:00,20.711735,33.155457
2025-07-06 22:00:00+02:00,20.554703,31.924318
2025-07-06 23:00:00+02:00,20.507795,30.618446
2025-07-07 00:00:00+02:00,20.404722,30.200258
2025-07-07 01:00:00+02:00,20.390965,28.962954
2025-07-07 02:00:00+02:00,20.389317,28.171602
2025-07-07 03:00:00+02:00,20.320374,27.219942
2025-07-07 04:00:00+02:00,20.273315,26.512037
2025-07-07 05:00:00+02:00,20.248987,27.19932
2025-07-07 06:00:00+02:00,20.227356,27.556442
2025-07-07 07:00:00+02:00,20.158218,29.181705
2025-07-07 08:00:00+02:00,20.120672,29.519436
2025-07-07 09:00:00+02:00,20.141169,31.656982
2025-07-07 10:00:00+02:00,20.206629,33.19596
2025-07-07 11:00:00+02:00,20.265287,35.073597
